117930 25433
26 8982 12.174
26 8985 16.2028
26 9064 10.2295
26 9168 11.1636
26 9188 11.2346
26 9252 10.2446
26 9383 10.2548
26 9424 10.2425
26 9427 16.1829
26 9440 12.2558
26 9525 12.2558
26 9745 13.2763
26 10121 10.2532
26 10241 12.2964
26 10244 10.3356
26 10266 11.2143
26 10335 10.2348
26 10503 10.2665
26 11077 13.2354
26 11237 11.3172
26 11240 10.288
26 11656 10.3373
26 11723 14.2992
26 11981 11.2365
26 12061 12.2365
26 12158 15.2848
26 12175 21.2466
26 12760 11.1914
26 12820 12.2637
26 12850 14.2116
26 12904 27.2523
26 12948 16.2494
26 13172 11.2975
26 13175 17.2187
26 13606 12.2902
26 13792 10.1929
26 13962 10.278
26 13976 10.2553
26 13997 10.2577
26 14024 13.2616
26 14193 10.2531
26 14248 12.247
26 14281 13.2387
26 14323 15.2636
26 14376 10.1994
26 14588 13.2939
26 14749 14.2849
26 15213 10.2718
26 16149 10.2323
26 22001 10.2152
26 23186 11.2966
26 25245 14.2993
27 41 11.2627
27 49 18.3086
27 50 12.2626
27 52 13.3188
27 56 22.2385
27 75 20.2694
27 76 23.2758
27 83 28.2588
27 93 17.2684
27 94 17.2552
27 103 31.2448
27 116 20.2432
27 134 11.343
27 159 15.2916
27 236 14.2728
27 238 26.2329
27 316 15.2501
27 318 16.3303
27 329 28.2792
27 403 13.2207
27 429 14.249
27 440 31.239
27 450 13.2656
27 466 10.3011
27 495 13.2226
27 634 16.2182
27 671 49.2265
27 676 10.2036
27 704 21.2051
27 725 18.3257
27 789 16.2584
27 949 17.2939
27 952 14.2848
27 1136 25.2503
27 1373 10.2935
27 1443 11.2785
27 1560 13.343
27 1633 10.2816
27 1803 17.2855
27 1906 11.2858
27 1915 12.2789
27 2206 18.3234
27 2265 12.2881
27 2309 10.2356
27 2526 17.2865
27 2540 10.3124
27 2551 30.2858
27 2554 25.1949
27 2555 14.2421
27 2564 24.2929
27 2565 18.3244
27 2572 10.2893
27 2576 13.2999
27 2583 15.3074
27 2585 12.3019
27 2589 28.2247
27 2604 28.2513
27 2607 15.2561
27 2608 16.2835
27 2617 12.3186
27 2619 20.2411
27 2623 11.2665
27 2625 11.3086
27 2631 19.2341
27 2634 14.2375
27 2641 11.2555
27 2644 18.2813
27 2645 14.3076
27 2648 17.2911
27 2651 11.2414
27 2654 43.2418
27 2657 32.3114
27 2666 50.2523
27 2673 17.2717
27 2678 22.2345
27 2679 17.1991
27 2681 13.3361
27 2687 10.262
27 2688 17.1929
27 2689 20.2099
27 2691 23.21
27 2692 21.1972
27 2695 26.2089
27 2699 13.3709
27 2702 18.3011
27 2706 19.1953
27 2720 18.2834
27 2723 21.2467
27 2742 15.2165
27 2745 11.1588
27 2748 12.1893
27 2751 19.2103
27 2753 24.2345
27 2754 11.2723
27 2757 11.2537
27 2759 13.2327
27 2762 28.2087
27 2765 14.1965
27 2776 15.2973
27 2807 14.2262
27 2818 17.2809
27 2876 21.2484
27 2888 33.2302
27 2889 24.1932
27 2893 15.1958
27 2895 14.1634
27 2896 10.1755
27 2897 20.212
27 2898 25.1892
27 2899 33.2303
27 2900 12.2457
27 2902 13.1936
27 2905 11.1987
27 2909 18.1948
27 2910 13.2041
27 2911 17.2592
27 2922 16.1869
27 2923 14.2308
27 2927 23.1889
27 2930 10.2023
27 2938 13.2091
27 2945 21.1732
27 2946 23.1847
27 2948 17.1907
27 2951 10.258
27 2954 14.1829
27 2955 11.1738
27 2956 21.1702
27 2957 20.2237
27 2958 29.2066
27 2959 23.203
27 2960 17.2201
27 2961 12.1854
27 2962 21.1988
27 2965 15.2344
27 3092 12.2637
27 3096 30.2586
27 3105 10.2174
27 3109 13.3043
27 3111 14.2979
27 3115 10.2673
27 3120 11.3595
27 3163 11.3021
27 3188 21.301
27 3193 14.2678
27 3278 16.2823
27 3291 12.2388
27 3342 19.2383
27 3364 14.2004
27 3398 12.2425
27 3511 10.3182
27 3591 16.2045
27 3641 11.2224
27 3653 11.1667
27 3682 12.2294
27 3688 19.2226
27 3883 29.239
27 3902 10.2813
27 3910 11.2542
27 3936 10.2242
27 3948 10.2118
27 3955 10.3004
27 4015 10.2845
27 4024 16.2848
27 4059 10.2987
27 4357 16.2286
27 4486 10.2857
27 4524 10.2365
27 4650 23.2912
27 5150 19.2417
27 5279 10.2344
27 5298 16.2816
27 5317 12.1965
27 5339 11.18
27 5415 11.2624
27 5723 10.2416
27 5733 10.2397
27 5860 13.26
27 5887 10.1937
27 6096 11.2513
27 6117 10.2257
27 6571 11.2112
27 6624 18.3002
27 6840 11.2735
27 6942 11.2222
27 7132 12.2193
27 7136 22.253
27 7153 14.234
27 7222 12.2454
27 7541 12.1967
27 8157 12.2698
27 8163 11.3594
27 8222 10.2298
27 8344 12.281
27 8555 16.2802
27 8651 12.2133
27 8652 17.2293
27 8668 21.2422
27 8686 10.2823
27 8707 13.2618
27 8752 14.2096
27 8755 13.2678
27 8760 14.2006
27 8786 11.1387
27 8933 10.2435
27 8936 14.2312
27 8950 16.2321
27 8985 18.2047
27 9002 11.2718
27 9064 11.2384
27 9081 11.2556
27 9168 16.1634
27 9188 17.2487
27 9252 12.2607
27 9383 16.2702
27 9424 15.263
27 9427 10.1855
27 9440 15.2773
27 9525 11.2725
27 9570 10.265
27 9660 12.2473
27 9745 12.298
27 10044 10.3215
27 10121 10.2745
27 10185 11.3114
27 10220 10.2797
27 10241 12.3201
27 10266 12.2278
27 10335 14.2511
27 10625 13.277
27 10955 11.3493
27 10972 10.314
27 11077 14.2459
27 11086 10.3595
27 11237 11.3516
27 11240 10.3158
27 11351 13.2365
27 11616 11.2651
27 11656 13.3824
27 11695 11.2215
27 11711 10.3391
27 11723 16.3256
27 11734 10.2819
27 11784 10.3184
27 11796 10.2372
27 11981 13.2445
27 12053 11.1906
27 12061 19.2508
27 12142 10.256
27 12158 17.3132
27 12175 14.2679
27 12186 11.227
27 12408 10.183
27 12412 14.2738
27 12744 10.2713
27 12760 20.1922
27 12820 12.2813
27 12850 20.2205
27 12904 30.2703
27 12948 17.2683
27 13160 10.3544
27 13175 19.2275
27 13606 15.3172
27 13962 12.3034
27 13976 11.2776
27 13997 13.2801
27 14024 13.2815
27 14193 13.2658
27 14281 22.2549
27 14323 23.2844
27 14353 13.2576
27 14373 10.3119
27 14431 10.287
27 14588 19.3221
27 14594 10.33
27 14749 16.3074
27 14752 14.3027
27 14784 10.2575
27 14786 15.2934
27 14895 12.2892
27 15201 12.2942
27 15203 12.2951
27 15213 13.297
27 15445 11.3238
27 15551 12.295
27 15680 13.3688
27 15691 11.2783
27 16149 16.2515
27 16150 11.2381
27 16259 18.2706
27 16344 11.2545
27 16400 14.2526
27 16968 15.2799
27 17033 10.2326
27 17374 11.2776
27 17407 12.3366
27 17478 12.3304
27 17610 10.2519
27 17706 11.2684
27 17995 11.2488
27 18090 13.3059
27 18298 11.2974
27 19759 11.2868
27 20980 11.2849
27 23044 10.2886
27 23186 10.3223
27 23431 11.2481
27 24119 10.283
27 26176 10.257
39 440 12.1643
39 671 10.1605
39 1136 10.1826
39 2654 12.1575
39 2666 11.1715
39 2888 10.1513
39 2889 10.142
39 2899 12.1735
39 2927 11.1467
39 2958 10.1473
39 12904 10.1871
41 76 11.2786
41 94 10.2637
41 103 10.1625
41 236 10.365
41 316 12.3212
41 671 15.1524
41 694 10.3673
41 2654 11.1743
41 2666 15.1615
41 2723 10.1862
41 3109 11.3209
41 4650 14.3532
41 11723 11.362
41 12904 12.2425
41 14749 12.3574
41 25245 13.3656
42 103 12.259
42 2654 11.2607
42 4650 10.3614
42 12904 10.3125
49 56 10.2496
49 76 12.293
49 83 13.2709
49 93 12.28
49 94 10.2638
49 103 21.2494
49 116 13.2575
49 236 12.2894
49 238 19.2518
49 316 16.2633
49 329 16.3008
49 403 10.2311
49 429 12.2673
49 440 21.2513
49 495 11.2319
49 671 21.2314
49 676 14.214
49 704 13.2144
49 789 14.2763
49 949 12.3169
49 952 10.3065
49 1051 14.2945
49 1136 21.265
49 1560 10.3695
49 1803 14.3064
49 2551 25.3078
49 2554 14.1932
49 2564 11.3179
49 2585 10.3305
49 2589 15.2356
49 2604 16.2691
49 2619 12.2583
49 2644 11.2967
49 2648 10.3104
49 2654 27.2564
49 2657 11.3274
49 2666 21.2576
49 2673 14.2923
49 2678 12.2414
49 2681 11.3647
49 2688 10.1948
49 2689 12.2163
49 2691 13.2148
49 2692 13.21
49 2695 16.2151
49 2699 10.4089
49 2702 13.3225
49 2723 10.264
49 2751 12.2206
49 2753 14.2458
49 2762 14.2178
49 2776 14.3159
49 2807 10.2468
49 2876 17.2636
49 2888 21.2453
49 2889 13.1975
49 2897 13.2212
49 2898 13.1908
49 2899 15.2378
49 2909 12.2004
49 2911 14.2747
49 2923 11.2391
49 2927 13.1892
49 2945 10.169
49 2946 13.1892
49 2948 10.1884
49 2956 11.1719
49 2957 14.2369
49 2958 15.213
49 2960 11.232
49 2962 13.2073
49 2965 10.2474
49 3054 10.2235
49 3092 10.2765
49 3096 18.2772
49 3163 13.3188
49 3188 10.3278
49 3193 10.2882
49 3290 10.2864
49 3342 13.2479
49 3364 11.2109
49 3591 10.2087
49 3641 12.2422
49 3653 10.1725
49 3688 13.2329
49 3883 16.2552
49 4024 12.3001
49 4650 17.3118
49 5279 10.2452
49 6011 10.2882
49 6096 11.262
49 6571 10.223
49 6624 11.3269
49 7132 10.2307
49 7153 10.2409
49 8163 11.3953
49 8652 10.2334
49 8668 12.2616
49 8936 12.2425
49 9040 12.3096
49 9081 10.2766
49 9158 10.258
49 9424 12.2775
49 9440 10.299
49 9544 12.3095
49 9745 13.3206
49 10095 10.2597
49 10266 11.245
49 10471 10.2934
49 12061 11.2609
49 12158 11.3447
49 12175 12.2859
49 12186 10.2314
49 12760 10.1913
49 12850 10.2311
49 12904 18.2831
49 12948 14.286
49 13829 11.3005
49 14248 10.2772
49 14588 11.3414
49 14895 10.3172
49 15213 10.3236
49 15270 10.3086
49 16149 11.2763
49 16259 11.2893
49 16297 10.3071
49 16656 10.2777
49 26176 11.2709
50 103 13.2105
50 236 10.2694
50 238 13.2011
50 316 12.2531
50 429 10.2446
50 440 13.2075
50 671 11.1963
50 704 10.2
50 1136 11.2221
50 2551 13.2513
50 2554 10.1683
50 2604 11.2145
50 2654 17.2117
50 2666 13.2153
50 2678 10.2044
50 2691 13.1816
50 2695 11.1773
50 2762 13.182
50 2876 12.2234
50 2888 15.2026
50 2889 11.1654
50 2897 12.1823
50 2898 10.1624
50 2899 12.1992
50 2946 11.1563
50 2957 11.1921
50 2958 14.1767
50 2962 10.169
50 3096 10.229
50 3688 11.2103
50 4650 12.2861
50 12850 10.1891
50 12904 17.2462
50 12948 11.2398
50 13606 11.2885
50 15213 10.2711
50 26407 10.2346
52 56 13.2465
52 93 18.2847
52 94 11.277
52 103 31.2499
52 236 12.3125
52 238 12.2323
52 316 16.283
52 329 10.2959
52 429 10.2739
52 440 20.244
52 671 19.2293
52 676 10.22
52 704 11.2158
52 949 10.3259
52 1136 21.2604
52 1443 13.3083
52 1560 11.3817
52 1633 10.321
52 1721 14.2452
52 1803 11.3112
52 1915 10.2967
52 2206 16.3586
52 2526 17.3045
52 2551 22.3054
52 2564 10.3072
52 2589 10.2234
52 2604 10.254
52 2608 10.3059
52 2654 25.2497
52 2657 10.3421
52 2666 21.2579
52 2691 11.2089
52 2695 13.2051
52 2702 19.3222
52 2720 11.3207
52 2753 10.2433
52 2754 13.2919
52 2761 10.3373
52 2762 11.2068
52 2876 14.2636
52 2888 18.2357
52 2889 11.1872
52 2897 11.2094
52 2898 10.1819
52 2899 12.2342
52 2911 15.2787
52 2923 13.2472
52 2946 11.1741
52 2957 13.2236
52 2958 16.2018
52 2960 10.2272
52 2962 10.1918
52 2965 10.234
52 3096 12.269
52 3109 17.3439
52 3111 10.3228
52 3188 12.3237
52 3193 15.2813
52 4024 10.3154
52 4650 23.3338
52 5279 10.2467
52 6624 12.3301
52 7136 11.2625
52 8555 14.3164
52 8752 10.2115
52 8788 10.2296
52 9383 14.299
52 9745 15.3212
52 10185 13.3627
52 10241 10.3582
52 10972 10.3611
52 11351 11.2493
52 11616 11.2905
52 11723 13.3732
52 12061 11.2663
52 12904 26.2926
52 12948 10.2844
52 13606 13.3529
52 13962 12.3294
52 14024 19.3001
52 14193 11.2877
52 14248 10.2864
52 14785 10.2408
52 15213 14.323
52 15270 15.3301
52 16255 11.3064
52 16259 17.2921
52 17959 12.3607
52 17995 12.2635
52 18090 10.3242
52 18298 10.33
52 18887 10.3043
52 19322 10.3589
52 19759 11.3346
52 20980 11.3066
52 23186 10.3524
52 23286 10.3536
52 23420 11.3053
52 23431 10.2576
52 25245 19.3738
52 26950 12.334
52 27629 10.3167
52 30471 12.2867
56 75 20.2408
56 76 13.2242
56 83 18.2304
56 93 16.2314
56 94 18.2126
56 103 29.2246
56 236 11.2051
56 238 20.2222
56 242 12.2409
56 316 10.1958
56 318 10.251
56 329 16.2417
56 403 11.1942
56 429 10.205
56 440 29.2199
56 450 17.2243
56 466 12.2276
56 634 11.2056
56 671 24.2109
56 676 10.1751
56 704 16.183
56 789 11.212
56 949 16.2347
56 952 11.2226
56 1136 23.223
56 1443 10.2238
56 1633 10.2146
56 1721 14.2067
56 1803 12.2358
56 1906 14.2167
56 1915 13.24
56 2206 10.2568
56 2265 11.2447
56 2355 10.1885
56 2526 19.2468
56 2551 25.2434
56 2554 24.1925
56 2564 20.2579
56 2565 15.2668
56 2576 14.2474
56 2583 10.2665
56 2585 11.2657
56 2589 24.2152
56 2604 19.235
56 2607 10.2316
56 2608 19.238
56 2617 11.277
56 2619 19.2212
56 2631 16.2144
56 2644 13.2522
56 2648 11.2622
56 2650 11.2497
56 2654 32.2185
56 2657 17.252
56 2666 47.2307
56 2678 15.2124
56 2679 13.1954
56 2681 15.2638
56 2688 16.1927
56 2689 13.2064
56 2691 18.2006
56 2692 18.1992
56 2695 22.2036
56 2702 19.2551
56 2720 10.2156
56 2723 20.2193
56 2745 10.1642
56 2751 11.2053
56 2753 16.2099
56 2754 10.231
56 2762 24.2006
56 2807 13.2142
56 2818 15.2469
56 2876 19.2163
56 2888 27.2111
56 2889 20.192
56 2893 13.1917
56 2897 17.2046
56 2898 17.1895
56 2899 26.2122
56 2902 10.183
56 2909 15.1889
56 2910 10.1803
56 2911 14.2206
56 2922 13.1871
56 2927 20.1897
56 2938 10.1982
56 2945 14.1778
56 2946 19.1903
56 2948 10.1889
56 2956 15.1838
56 2957 17.2127
56 2958 26.2022
56 2959 19.1994
56 2960 16.1995
56 2962 20.1986
56 2965 14.2226
56 3054 11.1918
56 3088 11.2301
56 3092 10.2086
56 3096 20.2309
56 3109 15.2356
56 3163 11.2346
56 3188 16.2544
56 3193 15.2353
56 3278 10.2433
56 3342 10.2246
56 3364 12.1992
56 3591 10.2131
56 3641 10.2145
56 3688 16.2013
56 3883 16.2226
56 3936 11.213
56 4059 12.2384
56 4357 11.203
56 4650 16.2199
56 4651 10.1859
56 5150 13.2175
56 5279 10.2075
56 5298 14.2539
56 5860 12.2281
56 6096 12.2093
56 6117 11.2014
56 6624 13.2448
56 7136 19.2262
56 8344 14.2488
56 8555 12.2183
56 8642 10.2296
56 8651 13.2137
56 8652 13.2156
56 8668 14.2219
56 8752 11.196
56 8760 12.1902
56 8788 13.2023
56 8935 11.2045
56 8950 10.2259
56 8985 12.1975
56 9064 10.2152
56 9158 11.2273
56 9252 10.2357
56 9424 10.2321
56 9440 12.2397
56 9745 14.2499
56 10266 14.1987
56 10625 14.2213
56 10972 11.2342
56 11086 12.2944
56 11351 13.2068
56 11569 10.2282
56 11616 12.2202
56 11695 10.1732
56 11723 19.244
56 11981 10.2072
56 12061 15.2174
56 12142 11.2386
56 12158 15.2765
56 12412 13.2275
56 12850 17.2111
56 12904 23.2265
56 12948 14.2328
56 13175 13.2071
56 13606 13.2518
56 13829 13.2277
56 13962 12.2525
56 13997 15.2461
56 14024 14.2413
56 14193 13.2212
56 14248 12.2151
56 14281 13.234
56 14353 11.2229
56 14588 11.2689
56 14692 10.2461
56 14747 10.1795
56 14784 13.2275
56 14785 17.2168
56 14790 10.1625
56 14895 10.2532
56 15201 15.2544
56 15203 10.237
56 15213 14.2472
56 15401 10.2584
56 15551 13.2492
56 15680 10.3
56 16149 10.2431
56 16150 10.2168
56 16259 18.2276
56 16344 11.2166
56 16378 10.1876
56 16400 17.2279
56 16968 10.2449
56 17597 10.1968
56 17600 11.1943
56 17610 10.2209
56 17706 10.2226
56 18090 10.2629
56 18298 14.2383
56 19422 13.2166
56 20016 12.1909
56 20980 15.2418
56 21654 11.2211
56 23373 14.2562
56 23431 13.2228
56 26400 10.2272
56 26407 12.2064
56 26950 11.245
56 27387 10.3015
56 29873 12.2335
56 32207 13.1777
71 103 13.2375
71 238 12.2355
71 329 10.2644
71 2551 14.2707
71 2654 16.2369
71 2688 10.2
71 2691 10.2122
71 2888 12.2292
71 2897 10.2179
71 2899 10.2307
71 2922 10.1953
71 2946 10.1992
71 2957 10.2276
71 2958 10.2143
71 3096 10.2528
71 3883 11.2381
71 4650 10.2535
71 12904 10.248
75 76 12.2483
75 83 19.2592
75 93 20.2641
75 94 15.2395
75 103 31.2624
75 318 14.2873
75 329 10.271
75 440 15.244
75 450 17.2629
75 671 32.2372
75 949 10.2577
75 1906 13.2386
75 2206 14.3029
75 2526 11.2891
75 2551 13.2721
75 2554 13.2144
75 2564 18.2936
75 2565 12.3187
75 2589 10.2357
75 2608 11.2622
75 2654 22.2373
75 2657 19.2945
75 2666 55.272
75 2702 26.2922
75 2723 19.2403
75 2888 14.2225
75 2899 12.2346
75 2958 15.2161
75 3088 15.2786
75 3109 16.2638
75 3188 12.2881
75 4650 11.2407
75 5150 12.2458
75 5860 16.256
75 7136 22.2598
75 8555 12.2482
75 10625 11.2528
75 11723 16.2753
75 12904 17.2599
75 13175 10.2318
75 13962 11.2875
75 13997 13.2787
75 14024 20.2748
75 14193 12.2519
75 14281 22.2712
75 14323 12.2994
75 14332 13.2936
75 14747 11.2041
75 14749 10.2606
75 15213 13.2785
75 16259 11.2504
75 17597 11.2203
75 23286 11.2996
75 23431 14.2422
76 83 23.2428
76 88 14.211
76 93 22.2522
76 94 16.2474
76 103 28.2268
76 116 21.2279
76 134 11.3206
76 192 11.2787
76 236 10.2727
76 238 28.217
76 242 15.2682
76 316 13.252
76 329 26.2632
76 403 10.214
76 429 13.2487
76 440 35.2238
76 450 15.2554
76 671 33.2104
